"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Este caso de prueba valida el acceso principal al sistema web de reservas con perfil Agencia.
1. Navegación a preprod.amv.travel.
2. Inyección de credenciales seguras mediante GitHub Secrets.
3. Validación de ingreso exitoso al portal interno.
4. Validación de perfil Agencia comprobando la NO existencia de los selectores de simulación de agencia.
","7264","test_login_agencia","web.inicio","Sat May 30 19:34:55 UTC 2026","passed","Sat May 30 19:35:03 UTC 2026","","login_agencia","",""
"
Este test valida la navegación y la estructura de la tabla de reservas en el BO:
1. Login administrativo.
2. Navegación mediante el menú lateral 'Reservas'.
3. Acceso a la Bandeja de Entrada (Inbox).
4. Validación estructural de los contenedores de la tabla.
","3878","test_validar_tabla_reservas_inbox","bo","Sat May 30 19:34:18 UTC 2026","passed","Sat May 30 19:34:22 UTC 2026","","reservas","",""
"
Este caso de prueba cubre el flujo End-to-End (E2E) de la reserva de un servicio:
1. Login silencioso y navegación a la pestaña de Servicios.
2. Búsqueda filtrada por Destino (Bariloche) y Tipo (Excursión).
3. Validación de la interfaz (UI) en las cards de resultados y el detalle interno.
4. Selección de cantidad de pasajeros.
5. Confirmación de reserva y validación final comprobando que el carrito sume 4 ítems.
6. Flujo de Finalización de Compra (Checkout) y carga de datos del pasajero.
","37060","test_reserva_servicio_flujo_completo","web.inicio","Sat May 30 19:35:33 UTC 2026","passed","Sat May 30 19:36:10 UTC 2026","","servicios","",""
"
Este caso de prueba cubre el flujo End-to-End (E2E) de la reserva de un hotel:
1. Búsqueda interactiva por destino (Bariloche) y selección en calendario.
2. Configuración compleja de pasajeros (adultos y menores con asignación de edad).
3. Aplicación de múltiples filtros laterales concurrentes (Zona, Tipo, Amenities).
4. Validación visual y funcional de la card del hotel y la vista de detalle interno.
5. Suma de habitaciones y confirmación final de la reserva validando el alert de éxito.
","17312","test_reserva_hotel_flujo_completo","web.inicio","Sat May 30 19:34:29 UTC 2026","failed","Sat May 30 19:34:47 UTC 2026","","hoteles","",""
"
Este test valida la navegación y la estructura de la tabla de reservas en el BO:
1. Login administrativo.
2. Navegación mediante el menú lateral 'Reservas'.
3. Acceso a la Bandeja de Entrada (Inbox).
4. Validación estructural de los contenedores de la tabla.
","15166","test_validar_inbox_cotizaciones","bo","Sat May 30 19:31:48 UTC 2026","passed","Sat May 30 19:32:03 UTC 2026","","cotizaciones","",""
"
Este caso de prueba cubre el flujo de Tarifario - Cruceros:
1. Login y navegación a Cruceros.
2. Búsqueda con destino Ushuaia.
3. Validación de ciclo de vida del botón Ver/Cerrar Tarifario.
4. Validación de la tabla de tarifas.
5. Validación de modales (Proveedores y Detalle).
","21480","test_tarifario_cruceros","web.tarifario","Sat May 30 19:37:57 UTC 2026","failed","Sat May 30 19:38:19 UTC 2026","","cruceros","",""
"
Este caso de prueba cubre el flujo completo de Tarifario - Excursiones:
1. Login y navegación a Excursiones.
2. Búsqueda con destino Cachi.
3. Validación del estado inicial del botón Ver Tarifario.
4. Apertura del panel principal, sub-grupos (si existen) y validación de la tabla.
5. Cierre del panel y validación del retorno al estado inicial.
6. Validación Independiente del modal ""Ver Proveedores"".
7. Validación Independiente del modal ""Ver Detalle"".
8. Validación Independiente de Tooltips (Duración, Idiomas, Operatividad) al final del flujo.
","39204","test_tarifario","web.tarifario","Sat May 30 19:38:26 UTC 2026","passed","Sat May 30 19:39:05 UTC 2026","","excursiones","",""
"
Este test valida el flujo de creación de un File a partir de un registro en el Inbox del BO:
1. Login administrativo.
2. Navegación a la Bandeja de Entrada (Inbox) de Reservas.
3. Selección del primer registro pendiente.
4. Asignación de País (Argentina) y Nombre de Grupo.
5. Guardado y validación de persistencia de datos.
6. Validación de carga de tablas de Destinos y Totales.
","8229","test_generar_file_desde_inbox","bo","Sat May 30 19:34:07 UTC 2026","passed","Sat May 30 19:34:15 UTC 2026","","generar_file","",""
"
Este caso de prueba cubre el flujo End-to-End de un paquete Multidestino:
1. Búsqueda de 'Triángulo Argentino'.
2. Selección de fechas, pasajeros y distribución de habitaciones.
3. Personalización del itinerario (Quitar y Agregar servicios opcionales).
4. Cambio de idioma de un servicio y validación de recargo en el precio.
5. Carga de datos de vuelo, pasajeros y confirmación de la reserva.
6. Validación en tabla de reservas.
","56116","test_reserva_multidestino","web.multidestino","Sat May 30 19:36:17 UTC 2026","passed","Sat May 30 19:37:13 UTC 2026","","multidestino","",""
"
Este caso de prueba valida el acceso principal al BackOffice (BO).
Es un flujo BLOQUEANTE ya que el resto de las pruebas E2E del BO dependen de una sesión válida.
1. Navegación a preprod.bo.amv.travel/login.
2. Inyección de credenciales seguras mediante GitHub Secrets.
3. Click en ingresar.
4. Validación de ingreso exitoso comprobando que la URL cambie a /main.
","3866","test_login_bo_admin","bo","Sat May 30 19:31:43 UTC 2026","passed","Sat May 30 19:31:47 UTC 2026","","bo_login_admin","",""
